country,code,diabetes_prevalence_pct,military_exp_pct_gdp,hospital_beds_per_1000,gdp_per_capita_usd,life_expectancy_years,ncd_deaths_pct
Germany,DEU,7.8,1.89190377205494,7.55,60496.4350820414,80.7926829268293,85.030176762789
Canada,CAN,7.7,1.31303419578919,2.54,55697.6639660837,82.1080487804878,86.1421655647786
"Congo, Dem. Rep.",COD,7.7,1.22855267131451,0.8,806.776000708534,62.074,34.5598414835297
Italy,ITA,7.7,1.60924561245844,3.06,43308.6403060733,83.9512195121951,81.4861291719807
Nepal,NPL,7.7,0.979452474186084,0.54,1535.87781246307,70.636,55.3353172551134
Armenia,ARM,7.7,5.48174920349075,4.24,9474.01849300368,78.319512195122,71.9361694533847
Central African Republic,CAF,7.6,2.51969119903231,1.0,556.131398031455,57.671,22.764467261008
Czechia,CZE,7.6,1.91680849222604,6.54,35917.2724081665,79.9780487804878,72.9728096878019
Kyrgyz Republic,KGZ,7.6,2.96620373701758,3.73,3080.96893823359,72.4,61.4254785884069
Romania,ROU,7.5,2.29815245791591,7.23,22537.9532108047,76.4585365853659,72.817604763563
Uzbekistan,UZB,7.5,2.86661981035524,4.89,3968.2720079072,72.528,80.0890342320956
Lithuania,LTU,7.5,3.11817486440289,5.71,32958.6706396386,77.1951219512195,78.098232743004
Isle of Man,IMN,7.5,,1.75223833073534,90015.2074234398,81.091,
Cambodia,KHM,7.5,1.52066451977199,0.73,2872.42926639909,70.817,63.6229213716915
Philippines,PHL,7.5,1.32426895346612,0.97,4170.72347271451,69.946,68.4626405985578
North Macedonia,MKD,7.4,2.10352863426818,4.74,10489.9255355525,76.6165853658537,69.7191105533509
Australia,AUS,7.4,1.8837883329175,3.82,65129.7227990563,83.0512195121951,89.6272717929647
Bulgaria,BGR,7.4,2.14947328244853,8.2,20328.1667065538,75.7609756097561,76.613619336916
United Kingdom,GBR,7.4,2.2786177901127,2.42,57601.9621201954,81.3868536585366,79.6757507937637
Chad,TCD,7.3,2.98484990097129,0.15,1022.33559390754,55.238,23.4756986639437
Liechtenstein,LIE,7.2,,,220167.225473557,84.2,
South Africa,ZAF,7.2,0.700150834276412,2.25,6597.71450918774,66.312,37.1610921564697
Slovak Republic,SVK,7.1,2.01078152849676,5.57,28543.6653439813,78.3707317073171,66.8559226249726
Turkmenistan,TKM,7.1,2.90187475069805,3.6,6540.17876401136,70.201,67.1791380269814
Latvia,LVA,7.1,3.25799154535171,4.95,26311.9730706362,76.4292682926829,81.0841570254266
Slovenia,SVN,7.0,1.31001116486788,4.11,37376.2216079138,82.2853658536585,75.7885434078504
Estonia,EST,6.9,3.37400221824601,4.13,34417.6320815138,79.2951219512195,82.8531098953559
Monaco,MCO,6.9,,21.99,288001.574856495,86.497,
Iceland,ISL,6.9,,2.83,98323.4849517418,82.809756097561,89.9806478215902
Finland,FIN,6.9,2.29979173712597,2.61,56148.580949046,82.3365853658537,92.2523807978109
Cameroon,CMR,6.9,1.00912763032385,2.65,1972.3815800786,63.968,35.7199669776104
